layer	dore_id	classification	dore_title	primary_reference	semantic_target	semantic_basis	status	notes
STAGE4_SEMANTIC	153	DEUTEROCANON	The Courage of a Mother	2 Maccabees 7	Hebrews 11	MARTYRDOM / RESURRECTION HOPE	ASSIGNED	Women and martyrs enduring for better resurrection.
STAGE4_SEMANTIC	154	DEUTEROCANON	The Punishment of Antiochus	2 Maccabees 9	Acts 12	PROUD KING JUDGED	ASSIGNED	Herod-Antiochus judgment parallel.
STAGE4_SEMANTIC	155	DEUTEROCANON	The Angel Is Sent to Deliver Israel	2 Maccabees 11	2 Kings 19	ANGELIC DELIVERANCE	ASSIGNED	Angel defeats hostile army.
STAGE4_SEMANTIC	156	DEUTEROCANON	Judas Maccabeus before the Army of Nicanor	2 Maccabees 15	1 Samuel 17	FAITH BEFORE BATTLE	ASSIGNED	Faithful champion before stronger enemy.
STAGE4_SEMANTIC	157	DEUTEROCANON	Baruch	Baruch 3	Jeremiah 36	SCRIBE / PROPHETIC WORD	ASSIGNED	Baruch writing/reading Jeremiah's words.
STAGE4_SEMANTIC	158	DEUTEROCANON	Susanna in the Bath	Susanna 21	2 Samuel 11	BATH / LUST / ABUSE OF POWER	ASSIGNED	Bathsheba narrative semantic parallel without equating characters.
STAGE4_SEMANTIC	159	DEUTEROCANON	The Justification of Susanna	Susanna 61-62	Deuteronomy 19	FALSE WITNESSES / JUSTICE	ASSIGNED	Judicial vindication and false testimony.
STAGE4_SEMANTIC	160	DEUTEROCANON	Daniel Confounds the Priests of Bel	Bel and the Dragon	1 Kings 18	FALSE GODS / PROPHETIC EXPOSURE	ASSIGNED	Exposure of false worship parallel.
STAGE4_SEMANTIC	161	CANONICAL	The Wise Men Guided by the Star	Matthew 2	Numbers 24	STAR / MESSIANIC SIGN	ASSIGNED	Star-from-Jacob imagery.
STAGE4_SEMANTIC	162	CANONICAL	The Flight Into Egypt	Matthew 2	Exodus 2	THREATENED CHILD / EGYPT	ASSIGNED	Moses-Jesus infancy parallel.
STAGE4_SEMANTIC	163	CANONICAL	The Massacre of the Innocents	Matthew 2	Exodus 1	INFANT SLAUGHTER / TYRANT	ASSIGNED	Pharaoh-Herod parallel.
STAGE4_SEMANTIC	164	CANONICAL	The Sermon on the Mount	Matthew 5	Deuteronomy 5	LAW / COVENANT TEACHING	ASSIGNED	Mountain teaching and Torah parallel.
STAGE4_SEMANTIC	165	CANONICAL	The Dumb Man Possessed	Matthew 12	Ephesians 6	SPIRITUAL CONFLICT	ASSIGNED	Demonic conflict imagery.
STAGE4_SEMANTIC	166	CANONICAL	Christ in the Synagogue	Matthew 13	Luke 4	REJECTION / HOMETOWN	ASSIGNED	Direct Nazareth parallel.
STAGE4_SEMANTIC	167	CANONICAL	The Daughter of Herod Receiving the Head of John the Baptist	Matthew 14	1 Kings 19	PROPHET PERSECUTION	ASSIGNED	Jezebel-Elijah and Herodias-John persecution motif.
STAGE4_SEMANTIC	168	CANONICAL	Christ Feeding the Multitude	Matthew 14	Exodus 16	BREAD IN WILDERNESS	ASSIGNED	Manna-feeding parallel.
STAGE4_SEMANTIC	169	CANONICAL	Jesus Healing the Sick	Matthew 15	Isaiah 35	HEALING / MESSIANIC AGE	ASSIGNED	Healing signs anticipated prophetically.
STAGE4_SEMANTIC	170	CANONICAL	The Transfiguration	Matthew 17	Exodus 34	RADIANT FACE / MOUNTAIN	ASSIGNED	Moses-glory parallel.
STAGE4_SEMANTIC	171	CANONICAL	Jesus Healing the Lunatic	Matthew 17	2 Kings 4	CHILD RESTORED	ASSIGNED	Child restoration imagery.
STAGE4_SEMANTIC	172	CANONICAL	Entry of Jesus Into Jerusalem	Matthew 21	Zechariah 9	KING / DONKEY	ASSIGNED	Explicit prophecy fulfillment.
STAGE4_SEMANTIC	173	CANONICAL	Christ and the Tribute Money	Matthew 22	Romans 13	CAESAR / CIVIC DUTY	ASSIGNED	Authority and dues theme.
STAGE4_SEMANTIC	174	CANONICAL	Jesus Praying in the Garden	Matthew 26	Genesis 3	GARDEN / OBEDIENCE	ASSIGNED	Adam-Christ garden contrast.
STAGE4_SEMANTIC	175	CANONICAL	Jesus Scourged	Matthew 27	Isaiah 50	BEATING / HUMILIATION	ASSIGNED	Servant struck and spat upon.
STAGE4_SEMANTIC	176	CANONICAL	Christ Mocked	Matthew 27	Psalm 22	MOCKERY / SUFFERING	ASSIGNED	Mocking righteous sufferer.
STAGE4_SEMANTIC	177	CANONICAL	The Arrival at Calvary	Matthew 27	Genesis 22	BELOVED SON / SACRIFICE	ASSIGNED	Sacrificial son typology.
STAGE4_SEMANTIC	178	CANONICAL	The Erection of the Cross	Matthew 27	Numbers 21	LIFTED UP	ASSIGNED	Bronze serpent typology.
STAGE4_SEMANTIC	179	CANONICAL	The Descent From the Cross	Matthew 27	Zechariah 12	PIERCED ONE / MOURNING	ASSIGNED	Mourning over pierced one.
STAGE4_SEMANTIC	180	CANONICAL	The Dead Christ	Matthew 27	Isaiah 53	DEATH / SERVANT	ASSIGNED	Suffering servant death imagery.
STAGE4_SEMANTIC	181	CANONICAL	The Burial of Christ	Matthew 27	Isaiah 53	GRAVE / RICH	ASSIGNED	Grave with rich motif.
STAGE4_SEMANTIC	182	CANONICAL	The Resurrection	Matthew 28	Ezekiel 37	LIFE FROM DEATH	ASSIGNED	Resurrection imagery.
STAGE4_SEMANTIC	183	CANONICAL	John the Baptist Preaching in the Wilderness	Mark 1	Isaiah 40	VOICE IN WILDERNESS	ASSIGNED	Explicit prophecy fulfillment.
STAGE4_SEMANTIC	184	CANONICAL	The Baptism of Jesus	Mark 1	Genesis 1	SPIRIT OVER WATERS	ASSIGNED	Creation-Spirit-baptism imagery.
STAGE4_SEMANTIC	185	CANONICAL	The Disciples Plucking Corn on the Sabbath	Mark 2	1 Samuel 21	DAVID / HOLY BREAD	ASSIGNED	Jesus explicitly cites David eating consecrated bread.
STAGE4_SEMANTIC	186	CANONICAL	Jesus Stilling the Tempest	Mark 4	Psalm 107	STORM / DIVINE CALM	ASSIGNED	Psalm describes God stilling storm.
STAGE4_SEMANTIC	187	CANONICAL	Jesus Blessing the Little Children	Mark 10	Psalm 127	CHILDREN / BLESSING	ASSIGNED	Children as gift/blessing.
STAGE4_SEMANTIC	188	CANONICAL	The Widow's Mite	Mark 12	1 Kings 17	WIDOW / COSTLY GIVING	ASSIGNED	Widow giving from scarcity.
STAGE4_SEMANTIC	189	CANONICAL	The Last Supper	Mark 14	Exodus 12	PASSOVER MEAL	ASSIGNED	Passover context.
STAGE4_SEMANTIC	190	CANONICAL	The Judas Kiss	Mark 14	Psalm 41	BETRAYAL BY FRIEND	ASSIGNED	Close companion betrayal.
STAGE4_SEMANTIC	191	CANONICAL	Jesus Falling Beneath the Cross	Mark 15	Lamentations 1	BURDEN / SUFFERING	ASSIGNED	Burdened suffering image.
STAGE4_SEMANTIC	192	CANONICAL	The Ascension	Mark 16	2 Kings 2	HEAVENWARD DEPARTURE	ASSIGNED	Elijah ascension parallel.
STAGE4_SEMANTIC	193	CANONICAL	The Annunciation	Luke 1	Judges 13	ANGELIC BIRTH ANNOUNCEMENT	ASSIGNED	Samson annunciation parallel.
STAGE4_SEMANTIC	194	CANONICAL	The Nativity	Luke 2	Micah 5	BETHLEHEM / MESSIAH	ASSIGNED	Birthplace prophecy.
STAGE4_SEMANTIC	195	CANONICAL	Jesus With the Doctors	Luke 2	1 Samuel 3	CHILD IN SANCTUARY	ASSIGNED	Samuel-Jesus childhood sanctuary parallel.
STAGE4_SEMANTIC	196	CANONICAL	The Temptation of Jesus	Luke 4	Deuteronomy 8	WILDERNESS / TESTING	ASSIGNED	Jesus cites Deuteronomy 8.
STAGE4_SEMANTIC	197	CANONICAL	Jesus Healing the Man Possessed With a Devil	Luke 4	1 Samuel 16	SPIRIT / TORMENT	ASSIGNED	Tormenting spirit and relief contrast.
STAGE4_SEMANTIC	198	CANONICAL	Jesus Preaching at the Sea of Galilee	Luke 5	Ezekiel 47	WATER / ABUNDANT LIFE	ASSIGNED	Water-edge mission imagery.
STAGE4_SEMANTIC	199	CANONICAL	Mary Magdalene Repentant	Luke 8	Psalm 51	REPENTANCE / MERCY	ASSIGNED	Penitential image reuse.
STAGE4_SEMANTIC	200	CANONICAL	Jesus Raising Up the Daughter of Jairus	Luke 8	2 Kings 4	CHILD RAISED	ASSIGNED	Elisha child resurrection parallel.
STAGE4_SEMANTIC	201	CANONICAL	The Good Samaritan	Luke 10	Leviticus 19	LOVE OF NEIGHBOR	ASSIGNED	Neighbor-love command.
STAGE4_SEMANTIC	202	CANONICAL	Arrival of the Good Samaritan at the Inn	Luke 10	James 2	MERCY / ACTIVE FAITH	ASSIGNED	Mercy enacted concretely.
STAGE4_SEMANTIC	203	CANONICAL	Jesus at the House of Martha and Mary	Luke 10	Psalm 27	ONE THING / PRESENCE	ASSIGNED	Seeking one thing in God's presence.
STAGE4_SEMANTIC	204	CANONICAL	Jesus Preaching to the Multitude	Luke 12	Deuteronomy 8	PROVISION / DEPENDENCE	ASSIGNED	Dependence on God rather than possessions.
STAGE4_SEMANTIC	205	CANONICAL	The Return of the Prodigal Son	Luke 15	Hosea 14	RETURN / REPENTANCE	ASSIGNED	Call to return.
STAGE4_SEMANTIC	206	CANONICAL	The Prodigal Son in the Arms of His Father	Luke 15	Zechariah 3	RESTORATION / CLEAN GARMENTS	ASSIGNED	Restoration and welcome imagery.
STAGE4_SEMANTIC	207	CANONICAL	Lazarus at the Rich Man's House	Luke 16	Amos 6	RICH / COMPLACENCY	ASSIGNED	Wealth and neglect warning.
STAGE4_SEMANTIC	208	CANONICAL	The Pharisee and the Publican	Luke 18	Isaiah 66	HUMBLE / CONTRITE	ASSIGNED	God regards humble contrite person.
STAGE4_SEMANTIC	209	CANONICAL	The Agony in the Garden	Luke 22	Psalm 42	SOUL IN ANGUISH	ASSIGNED	Deep sorrow and prayer.
STAGE4_SEMANTIC	210	CANONICAL	The Crucifixion	Luke 23	Psalm 22	SUFFERING MESSIAH	ASSIGNED	Passion psalm imagery.
STAGE4_SEMANTIC	211	CANONICAL	The Darkness at the Crucifixion	Luke 23	Amos 8	DARKNESS AT NOON	ASSIGNED	Prophetic darkness image.
STAGE4_SEMANTIC	212	CANONICAL	Jesus and the Disciples Going to Emmaus	Luke 24	Genesis 18	DIVINE GUEST / JOURNEY	ASSIGNED	Unrecognized divine visitor on road/hospitality motif.
STAGE4_SEMANTIC	213	CANONICAL	The Marriage in Cana	John 2	Isaiah 25	BANQUET / WINE	ASSIGNED	Messianic feast imagery.
STAGE4_SEMANTIC	214	CANONICAL	The Buyers and Sellers Driven Out of the Temple	John 2	Malachi 3	TEMPLE PURIFICATION	ASSIGNED	Purifying temple theme.
STAGE4_SEMANTIC	215	CANONICAL	Jesus and the Woman of Samaria	John 4	Genesis 24	WELL / COVENANT ENCOUNTER	ASSIGNED	Well-side encounter motif.
STAGE4_SEMANTIC	216	CANONICAL	Jesus Walking on the Sea	John 6	Job 9	DIVINE WALK ON SEA	ASSIGNED	God treads on waves.
STAGE4_SEMANTIC	217	CANONICAL	Jesus and the Woman Taken in Adultery	John 8	Hosea 3	ADULTERY / RESTORATION	ASSIGNED	Mercy toward unfaithful woman thematic reuse.
STAGE4_SEMANTIC	218	CANONICAL	Resurrection of Lazarus	John 11	Ezekiel 37	LIFE FROM DEATH	ASSIGNED	Dry bones resurrection imagery.
STAGE4_SEMANTIC	219	CANONICAL	St. Peter Denying Christ	John 18	Zechariah 13	SHEPHERD STRUCK / DISCIPLES SCATTERED	ASSIGNED	Passion prophecy context.
STAGE4_SEMANTIC	220	CANONICAL	The Crown of Thorns	John 19	Genesis 3	THORNS / CURSE	ASSIGNED	Crown of thorns reused against curse imagery.
STAGE4_SEMANTIC	221	CANONICAL	Christ Presented to the People	John 19	1 Samuel 8	KING / REJECTION	ASSIGNED	Rejected king imagery.
STAGE4_SEMANTIC	222	CANONICAL	Nailing Christ to the Cross	John 19	Zechariah 12	PIERCED ONE	ASSIGNED	Piercing imagery.
STAGE4_SEMANTIC	223	CANONICAL	The Miraculous Draught of Fishes	John 21	Ezekiel 47	FISH / ABUNDANCE	ASSIGNED	Abundant fish imagery from river vision.
STAGE4_SEMANTIC	224	CANONICAL	The Descent of the Spirit	Acts 2	Joel 2	SPIRIT OUTPOURING	ASSIGNED	Explicit fulfillment.
STAGE4_SEMANTIC	225	CANONICAL	The Apostles Preaching the Gospel	Acts 2	Isaiah 2	WORD FROM JERUSALEM	ASSIGNED	Word going forth from Zion/Jerusalem.
STAGE4_SEMANTIC	226	CANONICAL	St. Peter and St. John at the Beautiful Gate	Acts 3	Isaiah 35	LAME LEAPING	ASSIGNED	Messianic healing imagery.
STAGE4_SEMANTIC	227	CANONICAL	Death of Ananias	Acts 5	Joshua 7	COMMUNITY SIN / JUDGMENT	ASSIGNED	Achan-Ananias parallel.
STAGE4_SEMANTIC	228	CANONICAL	Martydom of St. Stephen	Acts 7	2 Chronicles 24	RIGHTEOUS MARTYR	ASSIGNED	Zechariah-Stephen martyrdom parallel.
STAGE4_SEMANTIC	229	CANONICAL	Conversion of Saul	Acts 9	Isaiah 6	VISION / CALL	ASSIGNED	Overwhelming divine call vision.
STAGE4_SEMANTIC	230	CANONICAL	St. Peter the House of Cornelius	Acts 10	Isaiah 56	GENTILES / INCLUSION	ASSIGNED	Foreigners gathered to God's house.
STAGE4_SEMANTIC	231	CANONICAL	St. Peter Delivered From Prison	Acts 12	Daniel 6	DELIVERANCE FROM DEATH	ASSIGNED	Miraculous deliverance from confinement.
STAGE4_SEMANTIC	232	CANONICAL	St. Paul at Ephesus	Acts 19	1 Kings 18	IDOLATRY / PUBLIC CONFRONTATION	ASSIGNED	False worship challenged publicly.
STAGE4_SEMANTIC	233	CANONICAL	St. Paul Rescued From the Multitude	Acts 21	Jeremiah 26	PROPHET / MOB THREAT	ASSIGNED	Messenger threatened by crowd.
STAGE4_SEMANTIC	234	CANONICAL	St. Paul Shipwrecked	Acts 27	Jonah 1	STORM / SEA / PROVIDENCE	ASSIGNED	Sea-crisis image reused with providential rescue.
STAGE4_SEMANTIC	235	CANONICAL	St. Paul Preaching to the Thessalonians	1 Thessalonians 2	Isaiah 52	GOOD NEWS / MESSENGER	ASSIGNED	Beautiful-feet gospel imagery.
STAGE4_SEMANTIC	236	CANONICAL	St. John at Patmos	Revelation 1	Ezekiel 1	VISIONARY PROPHET	ASSIGNED	Exilic visionary-seer imagery.
STAGE4_SEMANTIC	237	CANONICAL	The Vision of Death	Revelation 6	Ezekiel 14	SWORD / FAMINE / PESTILENCE	ASSIGNED	Fourfold judgment imagery.
STAGE4_SEMANTIC	238	CANONICAL	The Crowned Virgin: A Vision of John	Revelation 12	Genesis 3	WOMAN / SERPENT CONFLICT	ASSIGNED	Woman-serpent canonical conflict.
STAGE4_SEMANTIC	239	CANONICAL	Babylon Fallen	Revelation 18	Isaiah 13	BABYLON / FALL	ASSIGNED	Prophetic Babylon judgment.
STAGE4_SEMANTIC	240	CANONICAL	The Last Judgment	Revelation 20	Daniel 7	THRONES / JUDGMENT	ASSIGNED	Ancient of Days court imagery.
STAGE4_SEMANTIC	241	CANONICAL	The New Jerusalem	Revelation 21	Isaiah 60	GLORIOUS CITY / LIGHT	ASSIGNED	Zion glory imagery reused for final city.
SUMMARY	*	ALL 241 DORE PLATES	*	241 semantic reuse assignments	ONE semantic pass	COMPLETE	Every canonical and deuterocanonical Dore plate receives one additional semantic cover target.
